Conference,Type,Title,In Charge,Presentation year
ICSE,F,Enhancing Fault Localization in Industrial Software Systems via Contrastive Learning,,
ICSE,F,Enhancing The Open Network: Definition and Automated Detection of Smart Contract Defects,,
ICSE,F,EP-Detector: Automatic Detection of Error-prone Operation Anomalies in Android Applications,,
ICSE,F,Evaluating Garbage Collection Performance Across Managed Language Runtimes,,
ICSE,F,Execution Trace Reconstruction Using Diffusion-Based Generative Models,,
ICSE,F,exLong: Generating Exceptional Behavior Tests with Large Language Models,,
ICSE,F,Exploring the Robustness of the Effect of EVO on Intention Valuation through Replication,,
ICSE,F,Exposing the Hidden Layer: Software Repositories in the Service of SEO Manipulation,,
ICSE,F,FairChecker: Detecting Fund-stealing Bugs in DeFi Protocols via Fairness Validation,,
ICSE,F,Fairness Testing through Extreme Value Theory,,
ICSE,F,FairQuant: Certifying and Quantifying Fairness of Deep Neural Networks,,
ICSE,F,FairSense: Long-Term Fairness Analysis of ML-Enabled Systems,,
ICSE,F,FAMOS: Fault diagnosis for Microservice Systems through Effective Multi-modal Data Fusion,,
ICSE,F,Faster Configuration Performance Bug Testing with Neural Dual-level Prioritization,,
ICSE,F,Feature-Driven End-To-End Test Generation,,
ICSE,F,Fidelity of Cloud Emulators: The Imitation Game of Testing Cloud-based Software,,
ICSE,F,FixDrive: Automatically Repairing Autonomous Vehicle Driving Behaviour for $0.08 per Violation,,
ICSE,F,Fixing Large Language Models' Specification Misunderstanding for Better Code Generation,,
ICSE,F,Fork State-Aware Differential Fuzzing for Blockchain Consensus Implementations,,
ICSE,F,Formally Verified Binary-level Pointer Analysis,,
ICSE,F,Formally Verified Cloud-Scale Authorization,,
ICSE,F,From Bugs to Benefits: Improving User Stories by Leveraging Crowd Knowledge with CrUISE-AC,,
ICSE,F,Fuzzing MLIR Compilers with Custom Mutation Synthesis,,
ICSE,F,GARL: Genetic Algorithm-Augmented Reinforcement Learning to Detect Violations in Marker-Based Autonomous Landing Systems,,
ICSE,F,GenC2Rust: Towards Generating Generic Rust Code from C,,
ICSE,F,"Get Me In The Groove": A Mixed Methods Study on Supporting ADHD Professional Programmers,,
ICSE,F,Gpass: a Goal-adaptive Neural Theorem Prover based on Coq for Automated Formal Verification,,
ICSE,F,GVI: Guided Vulnerability Imagination for Boosting Deep Vulnerability Detectors,,
ICSE,F,HedgeCode: A Multi-Task Hedging Contrastive Learning Framework for Code Search,,
ICSE,F,Hetrify: Efficient Verification of Heterogeneous Programs on RISC-V,,
ICSE,F,HIFI: Explaining and Mitigating Algorithmic Bias through the Lens of Game-Theoretic Interactions,,
ICSE,F,Hints Help Finding and Fixing Bugs Differently in Python and Text-based Program Representations,,
ICSE,F,How Scientists Use Jupyter Notebooks: Goals, Quality Attributes, and Opportunities,,
ICSE,F,HumanEvo: An Evolution-aware Benchmark for More Realistic Evaluation of Repository-level Code Generation,,
ICSE,F,Hyperion: Unveiling DApp Inconsistencies using LLM and Dataflow-Guided Symbolic Execution,,
ICSE,F,Improved Detection and Diagnosis of Faults in Deep Neural Networks Using Hierarchical and Explainable Classification,,
ICSE,F,Increasing the Effectiveness of Automatically Generated Tests by Improving Class Observability,,
ICSE,F,Instruct or Interact? Exploring and Eliciting LLMs’ Capability in Code Snippet Adaptation Through Prompt Engineering,,
ICSE,F,Instrumentation-Driven Evolution-Aware Runtime Verification,,
ICSE,F,InSVDF: Interface-State-Aware Virtual Device Fuzzing,,
