Conference,Type,Title,In Charge,Presentation year
ICSE,F,3D Software Synthesis Driven by Constraint-Expressive Intermediate Representation,,
ICSE,F,"A Causal Perspective on Measuring, Explaining and Mitigating Smells in LLM-Generated Code",,
ICSE,F,Accelerating IC3 Verification by Exploiting Unsatisfiable Cores and Satisfying Models,,
ICSE,F,Accurate Inference of Termination Conditions,,
ICSE,F,A Comparison of Conversational Models and Humans in Answering Technical Questions: the Firefox Case,,
ICSE,F,A Comprehensive Study of Concurrency Bugs in the Linux Kernel,,
ICSE,F,A Comprehensive Study of Deep Learning Model Fixing Approaches,,
ICSE,F,Actionable Warning Is Not Enough: Recommending Valid Actionable Warnings with Weak Supervision,,
ICSE,F,AdapTrack: Constrained Decoding without Distorting LLM's Output Intent,,
ICSE,F,ADARULE: LLM-Driven Natural Language to LTL Conversion via Pattern-Adaptive Rule Induction,,
ICSE,F,A First Look at Model Supply Chain: From the Risk Perspective,,
ICSE,F,Agent-Based Ensemble Reasoning for Repository-Level Issue Resolution,,
ICSE,F,Agentic Predicates Reasoning for Directed Fuzzing,,
ICSE,F,AgentSpec: Customizable Runtime Enforcement for Safe and Reliable LLM Agents,,
ICSE,F,A Large-Scale Empirical Study of Secret Key Leakage in Hugging Face Spaces,,
ICSE,F,Aligning Requirement for Large Language Model's Code Generation,,
ICSE,F,AnchorDiff: Binary OSS Version Identification Method Based on Anchor Node Slicing,,
ICSE,F,An empirical Analysis of Community and Coding Patterns in OSS4SG vs. Conventional OSS,,
ICSE,F,An Empirical Study of Fine-Grained Entity Relationships for Tracing Natural Language and Code Vulnerability Artifacts,,
ICSE,F,An Empirical Study of Knowledge Distillation for Code Understanding Tasks,,
ICSE,F,An Empirical Study of WebAssembly Usage in Node.js,,
ICSE,F,An Empirical Study on Static Application Security Testing (SAST) Tools for Python,,
ICSE,F,An Empirical Study on the Robustness of Android Third-Party Library Detection Tools Against Advanced Obfuscation,,
ICSE,F,An Eye for AI: Eye-Tracking the Micro-Interruptions of GenAI Code Suggestions,,
ICSE,F,An LLM Agentic Approach for Legal-Critical Software: A Case Study for Tax Prep Software,,
ICSE,F,Are Humans and LLMs Confused by the Same Code? An Empirical Study on Fixation-Related Potentials and LLM Perplexity,,
ICSE,F,Are “Solved Issues” in SWE-bench Really Solved Correctly? An Empirical Study,,
ICSE,F,Argus: A Multi-agent Sensitive Information Leakage Detection Framework Based on Hierarchical Reference Relationships,,
ICSE,F,A Semantic-based Optimization Approach for Repairing LLMs: Case Study on Code Generation,,
ICSE,F,AssertFlip: Reproducing Bugs via Inversion of LLM-Generated Passing Tests,,
ICSE,F,Assessing Coherency and Consistency of Code Execution Reasoning by Large Language Models,,
ICSE,F,Atomizer: An LLM-based Collaborative Multi-Agent Framework for Intent-Driven Commit Untangling,,
ICSE,F,AtPatch: Debugging Transformers via Hot-Fixing Over-Attention,,
ICSE,F,Attention Distance: A Novel Metric for Directed Fuzzing with Large Language Models,,
ICSE,F,Attention Pruning: Automated Fairness Repair of Language Models via Surrogate Simulated Annealing,,
ICSE,F,Automated Network-Level Fault Injection Testing of Microservice Architectures,,
ICSE,F,Automatic Dockerfile Generation with Large Language Models,,
ICSE,F,Automating API Documentation from Crowdsourced Knowledge,,
ICSE,F,Automating Just-In-Time Python Type Annotation Updating,,
ICSE,F,Automating Requirements Formalization: Using LLMs and Low-Complexity Distinguishing Traces for Semantic Validation,,
ICSE,F,Back to the Basics: Rethinking Issue-Commit Linking with LLM-Assisted Retrieval,,
ICSE,F,Bayesian Multi-Level Performance Models for Multi-Factor Variability of Configurable Software Systems,,
ICSE,F,Beyond Adoption: Examining the Evolution and Impact of Codes of Conduct on Open-Source Communities,,
ICSE,F,Beyond Correctness: Exposing LLM-generated Logical Flaws in Reasoning via Multi-step Automated Theorem Proving,,
ICSE,F,Beyond Final Code: A Process-Oriented Error Analysis of Software Development Agents in Real-World GitHub Scenarios,,
ICSE,F,Beyond Fuzzy Matching: Constraint-Guided Patch Presence Testing for Obfuscated Java Binaries,,
ICSE,F,BFix: Automated Safe Memory-Leak Fixing for Binary Code,,
ICSE,F,Boosting Gas Revenues of Ethereum Miners,,
ICSE,F,Bounded Exhaustive Random Program Generation for Testing Solidity Compilers,,
ICSE,F,Breaking Single-Tester Limits: Multi-Agent LLMs for Multi-User Feature Testing,,
ICSE,F,Breaking Strong Encapsulation: A Comprehensive Study of Java Module Abuse,,
ICSE,F,Breaking the Alphabet: Rethinking File Ordering in Code Review,,
